Student,LPIPS,SSIM
113590018.png,0.0,1.0
113590045.png,0.2912132441997528,0.551038306017739
113590050.png,0.3004690706729889,0.566991325342487
113590023.png,0.3054315149784088,0.5005615598873615
113590052.png,0.3077777624130249,0.6436462643130025
112590040.png,0.3124936819076538,0.6127856549877236
113590062.png,0.3203442394733429,0.5491747560584334
113590036.png,0.32588285207748413,0.5884791598799974
112590452.png,0.33031752705574036,0.5893901961027012
113590059.png,0.3370412588119507,0.5593412899516725
113590044.png,0.3393383324146271,0.6170888536620647
113AB0018.png,0.34332937002182007,0.5694536705473082
110590455.png,0.3470671772956848,0.6237654907377318
113590028.png,0.34765711426734924,0.531931200367199
113590022.png,0.35223931074142456,0.5967855348696633
112590454.png,0.3544149100780487,0.5745055777088883
113590051.png,0.3612898290157318,0.6097404444315143
113590011.png,0.36130958795547485,0.5592111243670143
113590008.png,0.3639851212501526,0.5113011447092203
113590015.png,0.36400362849235535,0.6227144766155749
113370239.png,0.3646075129508972,0.6198571398766217
113590001.png,0.3662116527557373,0.5686387237221074
113590061.png,0.370010644197464,0.6337247500711054
112590455.png,0.3700163960456848,0.6250515616120743
114054809.png,0.3734282851219177,0.592506065120733
113590039.png,0.3770907521247864,0.6131737078176038
113590049.png,0.37738174200057983,0.5125211883625821
113590006.png,0.37793514132499695,0.5291764019715812
113590033.png,0.3833474814891815,0.6265499134185996
111590047.png,0.38446736335754395,0.6391549833434921
113AC1012.png,0.3886308968067169,0.5614604499040302
113590031.png,0.38951992988586426,0.6023390310475304
113590021.png,0.3895755708217621,0.5904073711317654
111590062.png,0.39001792669296265,0.5962116860177897
113590056.png,0.39107272028923035,0.5884131748975125
113590002.png,0.39713165163993835,0.5598880862079705
113590026.png,0.3980087637901306,0.6259832300555059
111590028.png,0.401862233877182,0.6173993247050167
112590058.jpg,0.4063628911972046,0.423596756019912
113590042.png,0.4141121506690979,0.5673267740600506
113590060.png,0.41473448276519775,0.6399022297026175
113590032.png,0.418638676404953,0.6623635086297022
113590003.png,0.4274587035179138,0.6048414948782103
113590040.png,0.4341800808906555,0.6126748589272086
113590057.png,0.45422592759132385,0.5332217718189539
111590455.png,0.459236204624176,0.4860426344367188
113590005.png,0.461093932390213,0.6364312128041616
113590047.png,0.475734144449234,0.6541277629681655
113590004.png,0.4868115782737732,0.6571391946138962
113590043.png,0.4981555640697479,0.6630848550762979
113590010.png,0.5032309293746948,0.5141592884460549
113590025.png,0.5047637224197388,0.6601745544896561
111590042.png,0.5196861028671265,0.6711241122371986
